PSDB | CANDIDATO | EVANDRO BUQUERA DE FREITAS OLIVEIRA JUNIOR | 20569527000149,64467,0.02355148991304597747
PTC | CANDIDATO | ADAO ROWIECKI | 20581629000180,437,0.00000000000000000000
PP | CANDIDATO | ANTONIO CARLOS SALLES BELINATI | 20573491000177,28542,0.00000000000000000000
PMDB | CANDIDATO | GILBERTO BERGUIO MARTIN | 20572047000137,16842,0.00000000000000000000
PTN | CANDIDATO | SÉRGIO COSTA XAVIER | 20614217000107,96,0.00000000000000000000
PSDC | CANDIDATO | CENIRA TRINDADE DOS SANTOS | 20622966000178,248,0.00000000000000000000
PR | CANDIDATO | FRANCISCO OCTAVIO BECKERT | 20570872000100,18287,0.00000000000000000000
PTN | CANDIDATO | MARGARETH APARECIDA DORANEM | 20604145000109,18,0.00000000000000000000
PSC | CANDIDATO | DEVANIL REGINALDO DA SILVA | 20564046000140,29097,0.00000000000000000000
PPS | CANDIDATO | LUIZ HENRIQUE BERLITZ | 20572223000130,144,0.00000000000000000000
PSD | CANDIDATO | ANA CLAUDIA SABINO | 20578211000113,342,0.00000000000000000000
PSD | CANDIDATO | JOEL MELO CORDEIRO | 20577872000124,6088,0.00000000000000000000
PSC | CANDIDATO | JOSE ANTONIO CAMARGO | 20566605000151,12688,0.00000000000000000000
PSC | CANDIDATO | ELIZETE LOIOLA PAIVA | 20573436000187,87,0.00000000000000000000
PSDC | CANDIDATO | ROMUALDO CAMARGO | 20576566000173,2111,0.00000000000000000000
PPS | CANDIDATO | RUI CAPELÃO CARDOSO | 20742970000170,0,0.00000000000000000000
PPL | CANDIDATO | ALZIMARA CABREIRA FRAGA BACELLAR | 20571310000173,778,0.00000000000000000000
PTC | CANDIDATO | SAVIO HENRIQUE CLEMENTE | 20581233000132,393,0.00000000000000000000
PSC | CANDIDATO | ELCIO JAIME DA LUZ | 20568381000117,17968,0.00000000000000000000
PC do B | CANDIDATO | CELIO LEANDRO RODRIGUES | 20576961000156,0,0.00000000000000000000
PSB | CANDIDATO | PAULO ENÉAS BORGES BUENO NETTO | 20570861000112,529,0.00000000000000000000
PSDC | CANDIDATO | JOSÉ APARECIDO CARDOSO DE SÁ | 20579136000105,449,0.00000000000000000000
PSDB | CANDIDATO | LUIZ GUILHERMINO RORATO | 20571340000180,814,0.00000000000000000000
PSC | CANDIDATO | VANIL BARBARINE | 20786474000118,2218,0.00000000000000000000
PC do B | CANDIDATO | CLAUDIO CESAR CASAGRANDE | 20576962000109,4840,0.00000000000000000000
PSDC | CANDIDATO | NELSON SILVA DE LIZ | 20622904000166,531,0.00000000000000000000
PTB | CANDIDATO | VANDER PIAIA | 20576510000119,4574,0.00000000000000000000
PSDB | CANDIDATO | ROBSON CLEIBER DE LIMA | 20569030000120,230,0.00000000000000000000
PTN | CANDIDATO | FABIO ALEXANDRE SILVEIRA | 20604157000133,171,0.00000000000000000000
PSC | CANDIDATO | GRAYCE CLAUDINE VILALVA | 20569061000181,18,0.00000000000000000000
PMDB | CANDIDATO | MARCOS RENATO SUDUL | 20573055000106,1343,0.00000000000000000000
PTN | CANDIDATO | APARECIDO NUNES FLORENCIO | 20604086000179,327,0.00000000000000000000
PSB | CANDIDATO | GUILHERME DE MAGALHÃES SPANGUEMBERG | 20569140000192,4617,0.00000000000000000000
PSD | CANDIDATO | LAURIVAL FERREIRA DA MOTA | 20578229000115,367,0.00000000000000000000
PPS | CANDIDATO | DIRCEU CHELIGA | 20572113000179,457,0.00000000000000000000
PSD | CANDIDATO | FERNANDA ELIZA TOSCANI BURIGO | 20573990000164,295,0.00000000000000000000
PPS | CANDIDATO | MARIA ALICE MACIEL FIGUEIREDO | 20570372000160,61,0.00000000000000000000
PTB | CANDIDATO | RENE BERTI | 20579159000110,388,0.00000000000000000000
SD | CANDIDATO | MARCELO JOSÉ FRANCEZ | 20574694000188,312,0.00000000000000000000
PSDC | CANDIDATO | VANDERLEI DONIZETE RODRIGUES | 20576700000136,1474,0.00000000000000000000
PTB | CANDIDATO | ANTONIO BASSI | 20576313000108,87,0.00000000000000000000
PSDB | CANDIDATO | LUIZ RENATO OLIVEIRA JORGE HAULY | 20569571000159,31802,0.00000000000000000000
PDT | CANDIDATO | ANTONIO FERNANDO SCANAVACCA | 20576319000177,35905,0.00000000000000000000
PSOL | CANDIDATO | MAURI ANTONIO GAUER JUNIOR | 20559196000166,879,0.00000000000000000000
PSD | CANDIDATO | SIDNEY MIAMI DE OLIVEIRA | 20574840000175,346,0.00000000000000000000
PSD | CANDIDATO | JOAO EDUARDO PASQUINI | 20574583000171,24908,0.00000000000000000000
PT do B | CANDIDATO | AROLDO PEREIRA DE LIMA | 20572250000103,374,0.00000000000000000000
PSD | CANDIDATO | ROBSON LUIZ BUENO | 20579188000181,723,0.00000000000000000000
PMDB | CANDIDATO | JONAS GUIMARÃES | 20570441000136,40139,0.00000000000000000000
PMDB | CANDIDATO | MARTINIANO DO VALLE NETO | 20572324000101,1637,0.00000000000000000000
PP | CANDIDATO | DENISE MARIA SCHEFER | 20573335000106,494,0.00000000000000000000
PSC | CANDIDATO | JOSE APARECIDO ALVES | 20566233000163,5264,0.00000000000000000000
PSC | CANDIDATO | CARLOS ANDRÉ SILVA TÁMEZ | 20568488000165,1399,0.00000000000000000000
PSL | CANDIDATO | LEVI SERGIO | 20572617000199,808,0.00000000000000000000
PTN | CANDIDATO | ALEXANDRE FERREIRA DA SILVA | 20604094000115,1986,0.00000000000000000000
PP | CANDIDATO | MARIA SILVANI ARAUJO GONÇALVES | 20572801000139,950,0.00000000000000000000
PSDB | CANDIDATO | SERGIO LUIS BOLONHEZI | 20572107000111,24459,0.00000000000000000000
PRP | CANDIDATO | MARCIO AURELIO VIEIRA DA COSTA | 20576905000111,4597,0.00000000000000000000
PHS | CANDIDATO | PRISCILLA SCHNEIDER FRANCO | 20569435000169,1182,0.00000000000000000000
PEN | CANDIDATO | WANDERLEY VEIGA | 20581517000129,298,0.00000000000000000000
PPS | CANDIDATO | ROSELIA APARECIDA ELBL VANAT | 20577853000106,599,0.00000000000000000000
PSC | CANDIDATO | ARAIDE LOURENÇO DOS SANTOS LIMA | 20569159000139,311,0.00000000000000000000
PSDC | CANDIDATO | FERNANDO JOSÉ RODRIGUES DE OLIVEIRA | 20577775000131,5917,0.00000000000000000000
PSOL | CANDIDATO | RAFAEL BONITO PEREIRA | 20559140000101,4568,0.00000000000000000000
PV | CANDIDATO | ALAERTE LEANDRO MARTINS | 20572166000190,2085,0.00000000000000000000
PPL | CANDIDATO | RUDÁ MORAIS GANDIN | 20569677000152,688,0.00000000000000000000
PTB | CANDIDATO | MARCO ANTONIO BOGAS DE OLIVEIRA | 20698384000175,722,0.00000000000000000000
PTC | CANDIDATO | ALTIVIR ALVES DE OLIVEIRA | 20582072000100,0,0.00000000000000000000
PTN | CANDIDATO | LUIZ CAMARA RAMOS | 20576692000128,94,0.00000000000000000000
PTN | CANDIDATO | JEFFERSON ADRIANO VARELLA | 20576156000122,77,0.00000000000000000000
PSL | CANDIDATO | LUCIA DUTRA PORTO | 20573661000113,42,0.00000000000000000000
PSC | CANDIDATO | WAGNER FERNANDES PINHEIRO | 20572321000178,2386,0.00000000000000000000
PR | CANDIDATO | HILTON SANTIN ROVEDA | 20569286000138,19725,0.00000000000000000000
PV | CANDIDATO | ROQUE BANDEIRA RIBEIRO | 20572628000179,362,0.00000000000000000000
PPS | CANDIDATO | SILVIO APARECIDO LINDES | 20572704000146,4892,0.00000000000000000000
PSDC | CANDIDATO | EDELVIRA GOIS RAMOS | 20622992000104,63,0.00000000000000000000
PSD | CANDIDATO | LUIZ CARLOS MARTINS GONÇALVES | 20577313000114,40368,0.00000000000000000000
PSL | CANDIDATO | SUELI TEREZINHA TORTURA | 20572231000187,142,0.00000000000000000000
PV | CANDIDATO | LINDSLEY DA SILVA RASCA RODRIGUES | 20571473000156,23815,0.00000000000000000000
PPS | CANDIDATO | EMILIO DIERKA | 20568742000125,486,0.00000000000000000000
PSC | CANDIDATO | FLAVIO DUBEN FERRARI | 20569685000107,11211,0.00000000000000000000
PSB | CANDIDATO | ANDRESSA DE PAULA FERREIRA | 20569774000145,62,0.00000000000000000000
PSB | CANDIDATO | EUNICE DIAS DE OLIVEIRA | 20573394000184,375,0.00000000000000000000
PPL | CANDIDATO | CELSO WESLEY RIBAS | 20572136000183,32,0.00000000000000000000
PC do B | CANDIDATO | RAFAELA MASCARENHAS ROCHA | 20576204000182,211,0.00000000000000000000
PSL | CANDIDATO | EDNILSON CARLOS BERTOL | 20571227000102,516,0.00000000000000000000
PMDB | CANDIDATO | NOEMIA DE SOUZA E SILVA ALVES ROCHA | 20571812000102,15357,0.00000000000000000000
PMDB | CANDIDATO | MAURICIO FONSECA FADEL | 20614346000197,8151,0.00000000000000000000
PT do B | CANDIDATO | ELVIS GIMENES | 20571933000146,151,0.00000000000000000000
PTN | CANDIDATO | MARINHO CANDIDO | 20604123000149,156,0.00000000000000000000
PSD | CANDIDATO | LAERCIO SILVA DE SOUZA | 20579179000190,1533,0.00000000000000000000
PDT | CANDIDATO | ANDRE VINICIUS BUENO | 20576023000156,36506,0.00000000000000000000
PTN | CANDIDATO | PAULO CESAR CHAVES FERREIRA | 20604100000134,444,0.00000000000000000000
PV | CANDIDATO | FLÁVIA PRAZERES | 20569234000161,222,0.00000000000000000000
PTN | CANDIDATO | MARLENE ANTUNES CASAGRANDE MORAIS | 20576093000104,508,0.00000000000000000000
PSD | CANDIDATO | MARI LUCIA STOCO ULSON | 20574400000118,9524,0.00000000000000000000
PSDB | CANDIDATO | ROGERIO MASSING | 20573363000123,3128,0.00000000000000000000
PTN | CANDIDATO | LAURO DE OLIVEIRA JOANICO | 20614281000180,106,0.00000000000000000000
PTC | CANDIDATO | PAULO SILVA DE MACEDO | 20581991000150,0,0.00000000000000000000
PSDB | CANDIDATO | OMAR SABBAG FILHO | 20571096000155,7963,0.00000000000000000000
PSDC | CANDIDATO | JOSÉ ARNALDO PERON MARTINS | 20581083000167,1230,0.00000000000000000000
SD | CANDIDATO | JECE DE MORAIS | 20578723000180,542,0.00000000000000000000
PDT | CANDIDATO | EDSON WILLIANS | 20576712000160,377,0.00000000000000000000
PMN | CANDIDATO | ARI ANTONIO ALVES SOBRINHO | 20572629000113,4302,0.00000000000000000000
PSC | CANDIDATO | EDIANA MICHELE DOS SANTOS | 20569837000163,20,0.00000000000000000000
PPS | CANDIDATO | MARCIA REGINA SAAD DO NASCIMENTO | 20572487000194,172,0.00000000000000000000
PTB | CANDIDATO | JUCELINO DOS SANTOS | 20576923000101,233,0.00000000000000000000
PDT | CANDIDATO | DANIEL ALBERTO CORREA | 20576912000113,56,0.00000000000000000000
PV | CANDIDATO | MARCELO ROVEDA | 20573004000176,381,0.00000000000000000000
PT | CANDIDATO | JAQUELINE DE SOUZA SILVA | 20576223000109,529,0.00000000000000000000
SD | CANDIDATO | INACIO BUDZIAK | 20577700000150,3156,0.00000000000000000000
PSC | CANDIDATO | ALEXANDRE MARCEL KUSTER GUIMARÃES | 20568628000103,24357,0.00000000000000000000
PSOL | CANDIDATO | ALBERTO SEVERINO | 20797099000101,306,0.00000000000000000000
PT | CANDIDATO | HUMBERTO JOSÉ HENRIQUE | 20576677000180,17367,0.00000000000000000000
PSL | CANDIDATO | MARIA ANALIA WALTER | 20572662000143,621,0.00000000000000000000
PV | CANDIDATO | JULIANA BATISTA | 20569426000178,502,0.00000000000000000000
PV | CANDIDATO | MAICOL GEISON CALLEGARI RODRIGUES BARBOSA | 20569469000153,8473,0.00000000000000000000
PSD | CANDIDATO | JOSE CARLOS SAHAGOFF RAAD | 20574791000170,18230,0.00000000000000000000
PMDB | CANDIDATO | MARCIO ROBERTO ITIBERE DE BARROS COELHO | 20573666000146,716,0.00000000000000000000
PSDC | CANDIDATO | MARIA MAGALLI DE MACEDO | 20576607000121,46,0.00000000000000000000
PSL | CANDIDATO | ISRAEL DIAS BORBOREMA | 20660928000100,385,0.00000000000000000000
PPS | CANDIDATO | ANA CAROLINA MELO MATOS CARRARA | 20569589000150,0,0.00000000000000000000
PDT | CANDIDATO | JOSE CASTORINO MACHADO FILHO | 20576578000106,166,0.00000000000000000000
PV | CANDIDATO | MARIA HELENA SCHREDERHOF DE AGUIAR | 20572060000196,132,0.00000000000000000000
PV | CANDIDATO | FREDERICO OTTO LEODEGAR KILIAN | 20570873000147,276,0.00000000000000000000
PPS | CANDIDATO | MONICA CAETANO DA SILVA | 20579716000100,84,0.00000000000000000000
PSB | CANDIDATO | LUCIA DE OLIVEIRA FERREIRA | 20572358000104,102,0.00000000000000000000
PMDB | CANDIDATO | MARINALVA GONÇALVES DA SILVA | 20571491000138,393,0.00000000000000000000
PTB | CANDIDATO | FRANCISCO GOMES DOS SANTOS | 20576679000179,4102,0.00000000000000000000
PTN | CANDIDATO | PAULO CESAR BUENO | 20579164000122,1000,0.00000000000000000000
PSB | CANDIDATO | KENNY TSUSHIMA | 20569597000105,2514,0.00000000000000000000
PMDB | CANDIDATO | SABINE DENISE GIESEN | 20573633000104,7445,0.00000000000000000000
PMDB | CANDIDATO | MARIO ROGISKI | 20571734000138,2145,0.00000000000000000000
PSDC | CANDIDATO | MARILEIDE APARECIDA MARTINS NOVAK | 20580203000101,0,0.00000000000000000000
PPS | CANDIDATO | EDVIN PIO RIGOTTI | 20570490000179,1347,0.00000000000000000000
PSDC | CANDIDATO | ALEXANDRE DAVID ANDRADE | 20576254000160,2240,0.00000000000000000000
PSDB | CANDIDATO | MARIA MEIRE MAIA CLEVE | 20659745000174,443,0.00000000000000000000
PDT | CANDIDATO | CARLOS EDUARDO FELSKY | 20576527000176,2561,0.00000000000000000000
PSC | CANDIDATO | ARNOLDO BULLE | 20567994000130,686,0.00000000000000000000
PTN | CANDIDATO | JOCELIA CLAUDIA GUARNERI | 20604099000148,14,0.00000000000000000000
PPS | CANDIDATO | VOLMIR DE JESUS GONÇALVES | 20633810000192,331,0.00000000000000000000
PSC | CANDIDATO | EDERSON JUNIOR SANTOS ROSA | 20564427000120,8250,0.00000000000000000000
PHS | CANDIDATO | GUSTAVO CORULLI RICHA | 20569667000117,10185,0.00000000000000000000
PT | CANDIDATO | ANDRE LUIZ PIOLI BERNASCKI | 20576151000108,21003,0.00000000000000000000
PPS | CANDIDATO | TERCILIO LUIZ TURINI | 20570721000144,47023,0.00000000000000000000
PSL | CANDIDATO | ADALBERTO LOSSO | 20570738000100,621,0.00000000000000000000
PT | CANDIDATO | ALECSANDRO DE ANDRADE CAVALCANTE | 20576080000135,0,0.00000000000000000000
PSC | CANDIDATO | ARILDO OLIVEIRA MELO | 20572340000102,558,0.00000000000000000000
PSC | CANDIDATO | JOÃO IVO CALEFFI | 20571692000135,3441,0.00000000000000000000
PPS | CANDIDATO | JOAO DOUGLAS FABRICIO | 20572547000179,54518,0.00000000000000000000
PSDC | CANDIDATO | CARLOS ROBERTO PATENE MARINHO | 20579438000183,214,0.00000000000000000000
PTB | CANDIDATO | NILZA MACIEL DA SILVA GIROTO | 20576236000188,353,0.00000000000000000000
PTC | CANDIDATO | OELINTON CORNELIUS | 20679933000164,378,0.00000000000000000000
PSC | CANDIDATO | VANIA FATIMA DE LIMA | 20572256000180,323,0.00000000000000000000
DEM | CANDIDATO | PEDRO DEBONI LUPION MELLO | 20569470000188,63580,0.00000000000000000000
PSDB | CANDIDATO | MARIO SERGIO BRADOCK ZACHESKI | 20604789000105,10575,0.00000000000000000000
PMDB | CANDIDATO | WILLIAM CEZAR POLLONIO MACHADO | 20604602000165,7880,0.00000000000000000000
PSDC | CANDIDATO | ENEAS DOS SANTOS ARAÚJO | 20576028000189,173,0.00000000000000000000
PTN | CANDIDATO | THATIANA BANNACH | 20604087000113,3,0.00000000000000000000
PRB | CANDIDATO | EMANOEL EDSON DE OLIVEIRA GOMES | 20576243000180,6801,0.00000000000000000000
PPS | CANDIDATO | DIOGO NASCIMENTO BUSSE | 20569446000149,13810,0.00000000000000000000
PTN | CANDIDATO | SACHA BOUCHRA GEORGES ABOU SARHAL | 20576049000102,135,0.00000000000000000000
PPS | CANDIDATO | MOEMA IRANI TIBURTIUS LOGULLO | 20570437000178,56,0.00000000000000000000
PSB | CANDIDATO | NELSON DA ROCHA | 20570360000136,1289,0.00000000000000000000
PT | CANDIDATO | JOSÉ EGIDIO RODRIGUES | 20576541000170,304,0.00000000000000000000
SD | CANDIDATO | GILSSARA RIBEIRO DA FONSECA | 20577619000170,10,0.00000000000000000000
PTC | CANDIDATO | CECILIA DE OLIVEIRA SIMÃO | 20581877000120,75,0.00000000000000000000
PCB | CANDIDATO | WILSON PREVIDI | 20689026000104,105,0.00000000000000000000
SD | CANDIDATO | PAULO HENRIQUE AREIAS HORACIO | 20574591000118,3566,0.00000000000000000000
PSOL | CANDIDATO | FERNANDO OLIVEIRA RODRIGUES | 20559080000127,390,0.00000000000000000000
PT | CANDIDATO | LUCIANA GUZELLA RAFAGNIN | 20576746000155,27950,0.00000000000000000000
PT do B | CANDIDATO | DANIEL FERREIRA DE ALMEIDA | 20573691000120,0,0.00000000000000000000
PV | CANDIDATO | HUGO APARECIDO FURRIER | 20569409000130,7613,0.00000000000000000000
PSDC | CANDIDATO | FERNANDO SANT'ANA | 20614136000107,1590,0.00000000000000000000
PPS | CANDIDATO | CARLOS LOPATIUK | 20572899000124,382,0.00000000000000000000
PV | CANDIDATO | JESSICA RIBEIRO GIARETA | 20569847000107,114,0.00000000000000000000
PSOL | CANDIDATO | LUCIANO EGIDIO PALAGANO | 20559131000110,744,0.00000000000000000000
PSC | CANDIDATO | MARCOS CESAR ZAMPIERI | 20567916000135,8987,0.00000000000000000000
PTN | CANDIDATO | OSCAR MOREIRA | 20605161000116,0,0.00000000000000000000
PSDC | CANDIDATO | JOSIEL DE SOUZA LIMA | 20576085000168,180,0.00000000000000000000
PSC | CANDIDATO | ELTON SOMAVILA | 20564222000144,1614,0.00000000000000000000
PV | CANDIDATO | MARI VANESSA LASKOVSKI | 20569912000196,0,0.00000000000000000000
PTN | CANDIDATO | CÂNDIDO DE MATOS GOMES | 20604091000181,1041,0.00000000000000000000
SD | CANDIDATO | ROSICLEIA CAMPESTRINI COOPER | 20574542000185,162,0.00000000000000000000
PSD | CANDIDATO | ALEXANDRE ALBERTO ALVES DA LUZ | 20578149000160,294,0.00000000000000000000
PSB | CANDIDATO | JOSÉ TIAGO CAMARGO DO AMARAL | 20569621000106,86390,0.00000000000000000000
PTN | CANDIDATO | SANDRA BERTIPAGLIA | 20604139000151,656,0.00000000000000000000
PPS | CANDIDATO | ALCEU MALUF JUNIOR | 20578575000101,281,0.00000000000000000000
SD | CANDIDATO | OSCALINO DE MELO | 20574213000134,3371,0.00000000000000000000
SD | CANDIDATO | OSNI DA SILVA SILVEIRA | 20574681000109,1325,0.00000000000000000000
PTB | CANDIDATO | RONY DOS SANTOS ALVES | 20576788000196,10288,0.00000000000000000000
PHS | CANDIDATO | KELLY SUSEL MENEGARI OLIVEIRA SANTOS | 20569466000110,1006,0.00000000000000000000
PR | CANDIDATO | LUIZ ANTONIO PENTEADO SETTI | 20570922000141,1630,0.00000000000000000000
PSC | CANDIDATO | CARLA CRISTIANA DE CARVALHO | 20569401000174,16484,0.00000000000000000000
PPL | CANDIDATO | OTONIEL REZNISKI SANTOS | 20569051000146,219,0.00000000000000000000
SD | CANDIDATO | CLAUDIONOR RODRIGUES | 20574363000148,264,0.00000000000000000000
PV | CANDIDATO | ANA EULALIA E SILVA COSTA | 20618266000100,1838,0.00000000000000000000
PSL | CANDIDATO | ANTONIO CARLOS FERREIRA PADILHA | 20572615000108,1656,0.00000000000000000000
PPS | CANDIDATO | JOAO MARIA FOGACA | 20571230000118,71,0.00000000000000000000
PSC | CANDIDATO | CLAUDEMIR BARINI | 20573420000174,2798,0.00000000000000000000
PSC | CANDIDATO | CLOVIS JOSE GUGELMIN DISTEFANO | 20567557000116,11207,0.00000000000000000000
PMDB | CANDIDATO | LUIZ EDUARDO CHEIDA | 20573220000111,28225,0.00000000000000000000
PSDB | CANDIDATO | LUIZ ROBERTO ACCORSI MOTTA | 20571299000141,37224,0.00000000000000000000
PV | CANDIDATO | AMADO PIRES | 20572674000178,239,0.00000000000000000000
PPS | CANDIDATO | FELIPE DITTRICH FERREIRA | 20569543000131,668,0.00000000000000000000
PSDB | CANDIDATO | SANDRA MARQUES PRADO | 20659707000111,239,0.00000000000000000000
PV | CANDIDATO | CRISTIANO DE JESUS ROSA | 20569156000103,195,0.00000000000000000000
